# X-nullcline
0.264981 1.4 1 
0.264972 1.386 1 

0.264972 1.386 1 
0.264962 1.372 1 

0.264962 1.372 1 
0.264952 1.358 1 

0.264952 1.358 1 
0.264942 1.344 1 

0.264942 1.344 1 
0.264931 1.33 1 

0.264931 1.33 1 
0.26492 1.316 1 

0.26492 1.316 1 
0.264909 1.302 1 

0.264909 1.302 1 
0.264897 1.288 1 

0.264897 1.288 1 
0.264885 1.274 1 

0.264885 1.274 1 
0.264872 1.26 1 

0.264872 1.26 1 
0.26486 1.246 1 

0.26486 1.246 1 
0.264846 1.232 1 

0.264846 1.232 1 
0.264832 1.218 1 

0.264832 1.218 1 
0.264818 1.204 1 

0.264818 1.204 1 
0.264803 1.19 1 

0.264803 1.19 1 
0.264788 1.176 1 

0.264788 1.176 1 
0.264772 1.162 1 

0.264772 1.162 1 
0.264756 1.148 1 

0.264756 1.148 1 
0.264739 1.134 1 

0.264739 1.134 1 
0.264721 1.12 1 

0.264721 1.12 1 
0.264703 1.106 1 

0.264703 1.106 1 
0.264684 1.092 1 

0.264684 1.092 1 
0.264664 1.078 1 

0.264664 1.078 1 
0.264643 1.064 1 

0.264643 1.064 1 
0.264622 1.05 1 

0.264622 1.05 1 
0.2646 1.036 1 

0.2646 1.036 1 
0.264577 1.022 1 

0.264577 1.022 1 
0.264553 1.008 1 

0.264553 1.008 1 
0.264527 0.994 1 

0.264527 0.994 1 
0.264501 0.98 1 

0.264501 0.98 1 
0.264474 0.966 1 

0.264474 0.966 1 
0.264445 0.952 1 

0.264445 0.952 1 
0.264416 0.938 1 

0.264416 0.938 1 
0.264385 0.924 1 

0.264385 0.924 1 
0.264352 0.91 1 

0.264352 0.91 1 
0.264318 0.896 1 

0.264318 0.896 1 
0.264282 0.882 1 

0.264282 0.882 1 
0.264245 0.868 1 

0.264245 0.868 1 
0.264206 0.854 1 

0.264206 0.854 1 
0.264164 0.84 1 

0.264164 0.84 1 
0.264121 0.826 1 

0.264121 0.826 1 
0.264076 0.812 1 

0.264076 0.812 1 
0.264028 0.798 1 

0.264 0.790218 1 
0.263978 0.784 1 

0.264028 0.798 1 
0.264 0.790218 1 

0.263978 0.784 1 
0.263925 0.77 1 

0.263925 0.77 1 
0.263869 0.756 1 

0.263869 0.756 1 
0.26381 0.742 1 

0.26381 0.742 1 
0.263747 0.728 1 

0.263747 0.728 1 
0.263681 0.714 1 

0.263681 0.714 1 
0.263611 0.7 1 

0.263611 0.7 1 
0.263537 0.686 1 

0.263537 0.686 1 
0.263458 0.672 1 

0.263458 0.672 1 
0.263375 0.658 1 

0.263375 0.658 1 
0.263285 0.644 1 

0.263285 0.644 1 
0.263191 0.63 1 

0.263191 0.63 1 
0.263089 0.616 1 

0.263089 0.616 1 
0.262981 0.602 1 

0.262981 0.602 1 
0.262866 0.588 1 

0.262866 0.588 1 
0.262742 0.574 1 

0.262742 0.574 1 
0.262609 0.56 1 

0.262609 0.56 1 
0.262466 0.546 1 

0.262466 0.546 1 
0.262312 0.532 1 

0.262312 0.532 1 
0.262146 0.518 1 

0.262146 0.518 1 
0.261967 0.504 1 

0.261967 0.504 1 
0.261773 0.49 1 

0.261773 0.49 1 
0.261562 0.476 1 

0.261562 0.476 1 
0.261333 0.462 1 

0.261333 0.462 1 
0.261084 0.448 1 

0.261084 0.448 1 
0.260811 0.434 1 

0.260811 0.434 1 
0.260513 0.42 1 

0.260513 0.42 1 
0.260185 0.406 1 

0.26 0.398817 1 
0.259824 0.392 1 

0.260185 0.406 1 
0.26 0.398817 1 

0.259824 0.392 1 
0.259426 0.378 1 

0.259426 0.378 1 
0.258985 0.364 1 

0.258985 0.364 1 
0.258496 0.35 1 

0.258496 0.35 1 
0.257949 0.336 1 

0.257949 0.336 1 
0.257338 0.322 1 

0.257338 0.322 1 
0.256652 0.308 1 

0.256 0.296213 1 
0.255878 0.294 1 

0.256652 0.308 1 
0.256 0.296213 1 

0.255878 0.294 1 
0.255001 0.28 1 

0.255001 0.28 1 
0.254004 0.266 1 

0.254004 0.266 1 
0.252865 0.252 1 

0.252 0.242748 1 
0.251556 0.238 1 

0.252865 0.252 1 
0.252 0.242748 1 

0.251556 0.238 1 
0.250046 0.224 1 

0.250046 0.224 1 
0.248294 0.21 1 

0.248 0.207984 1 
0.246251 0.196 1 

0.248294 0.21 1 
0.248 0.207984 1 

0.244 0.182835 1 
0.243857 0.182 1 

0.246251 0.196 1 
0.244 0.182835 1 

0.243857 0.182 1 
0.241038 0.168 1 

0.24 0.16363 1 
0.237706 0.154 1 

0.241038 0.168 1 
0.24 0.16363 1 

0.236 0.147945 1 
0.233755 0.14 1 

0.237706 0.154 1 
0.236 0.147945 1 

0.232 0.134749 1 
0.229066 0.126 1 

0.233755 0.14 1 
0.232 0.134749 1 

0.224 0.113222 1 
0.223514 0.112 1 

0.228 0.123303 1 
0.224 0.113222 1 

0.229066 0.126 1 
0.228 0.123303 1 

0.22 0.104447 1 
0.216986 0.098 1 

0.223514 0.112 1 
0.22 0.104447 1 

0.212 0.0887502 1 
0.209424 0.084 1 

0.216 0.0961655 1 
0.212 0.0887502 1 

0.216986 0.098 1 
0.216 0.0961655 1 

0.204 0.0750721 1 
0.200897 0.07 1 

0.208 0.0816483 1 
0.204 0.0750721 1 

0.209424 0.084 1 
0.208 0.0816483 1 

